Date and Time     	Excel-Time    	1-Laser-	2-Laser-	3-Sum   	4-TC1  	5-Tair 	6-rH%  
12.04.16 03:50:12	  42472,159861	-1311,9852	-1388,1860	-2700,1711	18,4951	18,5876	18,3800	41,9083
12.04.16 03:55:28	  42472,163519	-1312,2397	-1390,8433	-2703,0831	18,4965	18,5215	18,3700	41,9226
12.04.16 04:00:44	  42472,167176	-1315,1392	-1392,1286	-2707,2678	18,4968	18,5184	18,3500	41,9511
12.04.16 04:06:00	  42472,170833	-1314,5246	-1393,4821	-2708,0067	18,4922	18,5182	18,3300	41,8470
12.04.16 04:11:16	  42472,174491	-1315,7229	-1396,0836	-2711,8064	18,4298	18,5290	18,3300	41,7675
12.04.16 04:16:33	  42472,178160	-1317,9642	-1397,4309	-2715,3951	18,4322	18,5104	18,3100	41,7430
12.04.16 04:21:49	  42472,181817	-1319,2308	-1399,1569	-2718,3878	18,4279	18,4495	18,3000	41,7043
12.04.16 04:27:05	  42472,185475	-1320,0566	-1401,2307	-2721,2873	18,4306	18,4584	18,2800	41,6798
12.04.16 04:32:21	  42472,189132	-1320,2677	-1402,6587	-2722,9264	18,3725	18,4642	18,2800	41,6798
12.04.16 04:37:38	  42472,192801	-1322,1242	-1406,0115	-2728,1356	18,3727	18,4589	18,2600	41,5230
12.04.16 04:42:54	  42472,196458	-1323,6888	-1407,8307	-2731,5194	18,3673	18,3953	18,2400	41,4192
12.04.16 04:48:10	  42472,200116	-1323,9806	-1410,4446	-2734,4252	18,3668	18,3918	18,2300	41,4864
12.04.16 04:53:26	  42472,203773	-1325,6321	-1413,0957	-2738,7279	18,3646	18,3973	18,2100	41,3563
12.04.16 04:58:43	  42472,207442	-1329,9659	-1415,7655	-2745,7314	18,3034	18,3854	18,2000	41,3177
12.04.16 05:03:59	  42472,211100	-1332,2383	-1419,6212	-2751,8595	18,3067	18,3825	18,1800	41,2934
12.04.16 05:09:15	  42472,214757	-1334,2872	-1422,3593	-2756,6465	18,3055	18,3330	18,1700	41,2548
12.04.16 05:14:31	  42472,218414	-1335,9698	-1424,7932	-2760,7630	18,3088	18,3467	18,1500	41,1777
12.04.16 05:19:47	  42472,222072	-1338,3167	-1427,3326	-2765,6493	18,2501	18,3672	18,1300	41,1006
12.04.16 05:25:04	  42472,225741	-1340,8686	-1429,5367	-2770,4053	18,2389	18,3646	18,1300	40,9685
12.04.16 05:30:20	  42472,229398	-1342,9734	-1432,9702	-2775,9435	18,2464	18,2991	18,1100	40,9444
12.04.16 05:35:36	  42472,233056	-1345,1651	-1436,6085	-2781,7736	18,2432	18,3018	18,0900	40,9731
12.04.16 05:40:52	  42472,236713	-1348,8966	-1439,4335	-2788,3301	18,2441	18,2918	18,0800	40,8818
